No,Operasi,Volume (MB),Client Workers,Server Workers,Rata-rata Waktu (s),Rata-rata Throughput (Bps),Client Success,Client Fail
1,UPLOAD,10,1,1,8.4331,1243398.86,1,0
2,UPLOAD,10,1,5,7.8625,1333643.27,1,0
3,UPLOAD,10,1,50,7.8849,1329855.9,1,0
4,UPLOAD,10,5,1,13.3159,788717.41,5,0
5,UPLOAD,10,5,5,10.1991,1028171.04,5,0
6,UPLOAD,10,5,50,11.5418,908550.46,5,0
7,UPLOAD,10,50,1,63.7549,171190.66,50,0
8,UPLOAD,10,50,5,70.5891,153584.04,50,0
9,UPLOAD,10,50,50,97.5447,113810.73,50,0
10,UPLOAD,50,1,1,77.0674,680298.14,1,0
11,UPLOAD,50,1,5,1.1316,46331530.84,1,0
12,UPLOAD,50,1,50,0.7733,67798309.58,1,0
