No,Operasi,Volume (MB),Client Workers,Server Workers,Rata-rata Waktu (s),Rata-rata Throughput (Bps),Client Success,Client Fail
1,UPLOAD,10,1,1,8.0398,1304226.66,1,0
2,UPLOAD,10,1,5,7.7882,1346370.97,1,0
3,UPLOAD,10,1,50,10.7575,974743.23,1,0
4,UPLOAD,10,5,1,26.4228,484829.22,5,0
5,UPLOAD,10,5,5,22.9222,602260.0,5,0
6,UPLOAD,10,5,50,22.3232,627646.57,5,0
7,UPLOAD,10,50,1,203.5472,82416.82,50,0
8,UPLOAD,10,50,5,226.7285,57437.77,50,0
9,UPLOAD,10,50,50,5.9758,2691038.0,50,0
10,UPLOAD,50,1,1,1.3371,39210576.86,1,0
11,UPLOAD,50,1,5,1.0787,48604202.32,1,0
12,UPLOAD,50,1,50,1.0319,50808684.93,1,0
13,UPLOAD,50,5,1,6.8766,7624404.62,5,0
14,UPLOAD,50,5,5,6.513,8050184.03,5,0
15,UPLOAD,50,5,50,5.7049,9190418.96,5,0
